
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055484' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.982 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 3
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x0005549c' type='258' header_size='16' size='116'>
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 2
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:__init__:1167 - START_TAG: activity (line=6261)
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 0
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 0
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeName:997 - 0
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 0
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 0
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}theme='b'@android:01030010''
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 1
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 1
2026-08-06 00:55:46.983 | DEBUG    | androguard.core.axml:getAttributeName:997 - 1
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 1
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 1
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValue:1052 - 1
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}name='b'com.google.android.gms.auth.api.signin.internal.SignInHubActivity''
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 2
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 2
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeName:997 - 2
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 2
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 2
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}exported='b'false''
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeNamespace:981 - 3
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeUri:968 - 3
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeName:997 - 3
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValueType:1027 - 3
2026-08-06 00:55:46.984 | DEBUG    | androguard.core.axml:getAttributeValueData:1038 - 3
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:__init__:1195 - found an attribute: {http://schemas.android.com/apk/res/android}excludeFromRecents='b'true''
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:is_valid:575 - True
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:_do_next:593 - M_EVENT 2
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:_do_next:608 - NEXT HEADER <ARSCHeader idx='0x00055510' type='259' header_size='16' size='24'>
2026-08-06 00:55:46.985 | DEBUG    | androguard.core.axml:__init__:1146 - DEBUG ARSC TYPE 3
